Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
367	-5.0002e-002	6.0001e-002	3.0002e-002	384.91
358	-7.0002e-002	3.0001e-002	-5.9998e-002	1.8195e+006
370	-2.0002e-002	0.1	3.0002e-002	21781
332	0.19	-1.0001e-002	3.0002e-002	87375
352	0.21	6.e-002	3.0001e-002	36567
373	-2.15e-006	0.11	3.0002e-002	3.7637e+005
386	0.14	-1.0001e-002	3.0002e-002	1.3481e+006
360	-1.0002e-002	2.0001e-002	3.e-002	1.0926e+006
390	0.17384	2.9232e-002	2.0002e-002	2.7213e+005
391	0.17769	3.8462e-002	2.0002e-002	2.2363e+005
392	0.18154	4.7693e-002	2.0002e-002	1.7975e+005
393	0.18538	5.6924e-002	2.0002e-002	1.4049e+005
362	-2.15e-006	1.0001e-002	3.0002e-002	1.2743e+006
361	-2.15e-006	2.0001e-002	3.0002e-002	1.1161e+006
347	0.2	1.9999e-002	3.0001e-002	93159
348	0.21	2.0001e-002	3.0001e-002	73895
351	0.21	5.0001e-002	3.0001e-002	57352
359	9.9979e-003	3.0001e-002	3.e-002	384.91
395	0.19307	7.5385e-002	2.0002e-002	75827
396	0.19692	8.4616e-002	2.0002e-002	50423
408	-2.0002e-002	0.11	3.0002e-002	3.7544e+005
412	-3.0002e-002	0.14	3.0002e-002	1.8887e+005
411	-2.0002e-002	0.14	3.0002e-002	8212.3
404	0.19	1.0001e-002	3.0002e-002	2.1e+005
405	-4.0002e-002	3.0001e-002	-5.9999e-002	7.5615e+005
406	-8.0002e-002	3.0001e-002	-5.9999e-002	8.0453e+005
422	-4.0002e-002	3.6001e-002	-6.7999e-002	5.8619e+005
397	0.20077	9.3847e-002	2.0002e-002	29638
436	0.18523	-5.6988e-002	2.0002e-002	1.405e+005
435	0.18142	-4.7741e-002	2.0002e-002	1.7976e+005
440	0.20046	-9.3975e-002	2.0002e-002	29640
439	0.19665	-8.4728e-002	2.0002e-002	50426
433	0.17381	-2.9247e-002	2.0002e-002	2.7214e+005
421	0.17	-2.0001e-002	2.0002e-002	3.0268e+005
442	0.20807	-0.11247	2.0002e-002	1924.
441	0.20427	-0.10322	2.0002e-002	13473
424	-2.0002e-002	0.12	3.0002e-002	5.7091e+005
445	-2.0002e-002	0.13	3.0002e-002	2.6427e+005
425	-2.15e-006	0.1	3.0002e-002	1924.6
446	9.9979e-003	0.1	3.0002e-002	384.91
394	0.18923	6.6155e-002	2.0002e-002	1.0585e+005
402	0.15	-1.0001e-002	3.0002e-002	1.09e+006
413	-3.0002e-002	0.15	3.0002e-002	1.6331e+005
423	-8.0002e-002	3.6001e-002	-6.7999e-002	8.7155e+005
444	-8.0002e-002	4.2001e-002	-7.5999e-002	8.3018e+005
426	-2.15e-006	0.14	3.0002e-002	1924.6
447	9.9979e-003	0.14	3.0002e-002	384.91
