Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
80	9.9979e-003	-3.0001e-002	3.e-002	384.91
66	-4.0002e-002	-6.0001e-002	3.0002e-002	1924.6
83	-3.0002e-002	-4.0001e-002	3.0002e-002	6.7556e+005
85	-5.0002e-002	-4.0001e-002	3.0002e-002	6.8913e+005
84	-4.0002e-002	-4.0001e-002	3.0002e-002	3.8479e+005
67	-5.0002e-002	-6.0001e-002	3.0002e-002	384.91
45	9.9979e-003	-0.22	3.0002e-002	384.91
40	-3.0002e-002	-9.0001e-002	3.0002e-002	5.0818e+005
71	9.9979e-003	-0.14	3.0002e-002	384.91
48	-3.0002e-002	-0.19	3.0002e-002	43293
49	-2.0002e-002	-0.19	3.0002e-002	38160
46	-2.0002e-002	-0.2	3.0002e-002	36526
97	-9.0002e-002	3.0001e-002	1.55e-006	4.1275e+005
98	-9.0002e-002	2.0001e-002	1.5e-006	4.405e+005
99	-0.1	2.0001e-002	1.5e-006	4.1367e+005
109	-0.13	-9.9994e-003	1.55e-006	1.1428e+005
110	-0.13	6.e-007	1.55e-006	1.2649e+005
136	-0.14	2.0001e-002	-4.9998e-002	1924.6
135	-0.13	2.0001e-002	-4.9998e-002	8853.
141	-6.6002e-002	-3.0001e-002	1.8002e-002	3.3691e+005
140	-5.8002e-002	-3.0001e-002	2.4002e-002	3.6449e+005
148	-0.13	-2.0001e-002	1.5e-006	1.6008e+006
150	-0.13	-2.0001e-002	-9.9985e-003	1.0064e+006
128	-9.0002e-002	-9.9994e-003	-4.9998e-002	2.5305e+005
101	-9.e-002	1.0001e-002	1.55e-006	82986
100	-0.1	1.0001e-002	1.55e-006	75442
123	-0.114	-3.0001e-002	-3.1999e-002	7.4382e+005
124	-0.106	-3.0001e-002	-3.7999e-002	1.3226e+006
144	-9.0002e-002	-3.0001e-002	1.55e-006	4.1272e+005
143	-8.2002e-002	-3.0001e-002	6.0016e-003	3.9114e+005
105	-0.1	-2.0001e-002	1.5e-006	4.1374e+005
106	-0.11	-2.0001e-002	1.5e-006	9.3343e+005
120	-0.13	-2.0001e-002	-1.9998e-002	3.5776e+005
119	-0.13	-1.0001e-002	-1.9998e-002	2.5392e+005
151	-0.1	-2.0001e-002	-4.9998e-002	57352
108	-0.12	-1.0001e-002	1.55e-006	56789
153	-0.12	-2.0001e-002	-4.9998e-002	20400
152	-0.11	-2.0001e-002	-4.9998e-002	36567
154	-0.13	-2.0001e-002	-4.9998e-002	8853.
134	-0.12	2.0001e-002	-4.9998e-002	20400
133	-0.11	2.0001e-002	-4.9998e-002	36567
155	-0.14	-2.0001e-002	-4.9998e-002	1924.6
104	-0.1	-1.0001e-002	1.55e-006	75482
103	-9.e-002	-9.9994e-003	1.55e-006	83027
122	-0.122	-3.0001e-002	-2.5999e-002	1.6131e+005
121	-0.13	-3.0001e-002	-1.9999e-002	2.5919e+005
156	-0.15	-2.0001e-002	-4.9998e-002	384.91
157	-9.0002e-002	3.0001e-002	-4.9999e-002	1.3206e+006
158	-9.8002e-002	3.0001e-002	-4.3999e-002	1.8976e+006
132	-0.1	2.0001e-002	-4.9998e-002	57352
145	-9.0002e-002	-2.0001e-002	1.5e-006	4.4063e+005
112	-0.12	1.0001e-002	1.55e-006	56809
113	-0.12	2.0001e-002	1.5e-006	8.806e+005
130	-9.0002e-002	1.0001e-002	-4.9998e-002	2.5299e+005
129	-9.0002e-002	6.e-007	-4.9998e-002	2.5302e+005
147	-0.11	2.0001e-002	1.5e-006	9.3327e+005
107	-0.12	-2.0001e-002	1.5e-006	8.8075e+005
115	-0.13	2.0001e-002	-9.9985e-003	1.0062e+006
116	-0.13	2.0001e-002	-1.9998e-002	3.5762e+005
149	-0.13	3.0001e-002	-1.9999e-002	2.5912e+005
159	-0.106	3.0001e-002	-3.7999e-002	1.3226e+006
160	-0.114	3.0001e-002	-3.1999e-002	7.4385e+005
137	-0.15	2.0001e-002	-4.9998e-002	384.91
126	-9.0002e-002	-3.0001e-002	-4.9999e-002	1.3207e+006
142	-7.4002e-002	-3.0001e-002	1.2002e-002	3.1264e+005
118	-0.13	-6.e-007	-1.9998e-002	2.539e+005
117	-0.13	9.9994e-003	-1.9998e-002	2.5387e+005
102	-9.e-002	6.e-007	1.55e-006	83635
114	-0.13	2.0001e-002	1.5e-006	1.6004e+006
139	-2.0002e-002	-2.0001e-002	3.0002e-002	2.2376e+006
111	-0.13	1.0001e-002	1.55e-006	1.1425e+005
125	-9.8002e-002	-3.0001e-002	-4.3999e-002	1.8978e+006
138	-1.0002e-002	-2.0001e-002	3.e-002	1.0928e+006
172	-3.0002e-002	-3.0001e-002	-4.9998e-002	1.3311e+006
161	-0.122	3.0001e-002	-2.5999e-002	1.6146e+005
168	-2.0002e-002	-2.0001e-002	-2.9999e-002	3.3401e+005
167	-2.0002e-002	-2.0001e-002	-1.9998e-002	6.4433e+005
169	-2.0002e-002	-2.0001e-002	-3.9998e-002	3.3942e+005
176	-3.0002e-002	1.0001e-002	-4.9998e-002	3.4522e+005
175	-3.0002e-002	6.e-007	-4.9998e-002	3.4525e+005
178	-3.0002e-002	3.0001e-002	-4.9998e-002	1.331e+006
166	-2.0002e-002	-2.0001e-002	-9.9985e-003	9.5465e+005
171	-2.0002e-002	-3.0001e-002	-4.9998e-002	7.57e+005
163	-2.0002e-002	-2.0001e-002	2.0002e-002	1.8856e+006
164	-2.0002e-002	-2.0001e-002	1.0002e-002	1.5753e+006
165	-2.0002e-002	-2.0001e-002	1.5e-006	1.265e+006
174	-3.0002e-002	-9.9994e-003	-4.9998e-002	3.4527e+005
242	0.14	1.0001e-002	3.0002e-002	1.4525e+006
270	0.228	1.0001e-002	5.4002e-002	35977
269	0.222	1.0001e-002	4.6002e-002	47810
298	9.9979e-003	5.0001e-002	3.0002e-002	2.0427e+006
297	-2.15e-006	5.0001e-002	3.0002e-002	1.8637e+006
279	-7.0002e-002	-3.0001e-002	-4.9998e-002	1.4022e+006
271	0.234	1.0001e-002	6.2002e-002	21374
261	0.234	-1.0001e-002	6.2002e-002	31459
262	0.228	-1.0001e-002	5.4002e-002	36472
272	0.24	1.0001e-002	7.0002e-002	14034
273	0.24	2.0001e-002	7.0001e-002	24345
258	0.24	-2.0001e-002	8.0002e-002	23299
257	0.24	-1.0001e-002	8.0002e-002	11476
243	0.15	1.0001e-002	3.0002e-002	1.2625e+006
245	0.16	6.e-007	3.e-002	4.2868e+005
246	0.168	6.e-007	3.6e-002	4.0909e+005
249	0.192	6.e-007	5.4e-002	2.0031e+005
250	0.2	6.e-007	6.e-002	1.3811e+005
256	0.24	-1.0001e-002	9.0001e-002	27599
255	0.24	6.e-007	9.e-002	85700
274	0.24	2.0001e-002	8.0002e-002	24182
259	0.24	-2.0001e-002	7.0001e-002	24797
277	1.5292e-002	6.e-007	-3.1175e-002	-2.6488e+005
282	-8.0002e-002	-3.6001e-002	-6.7998e-002	8.7159e+005
283	-8.0002e-002	-4.2001e-002	-7.5998e-002	8.3024e+005
248	0.184	6.e-007	4.8e-002	2.6621e+005
247	0.176	6.e-007	4.2e-002	3.358e+005
268	0.216	1.0001e-002	3.8002e-002	56871
267	0.21	1.0001e-002	3.0002e-002	46656
